"Category";"locus_tag"
"Lysine degradation";"b2224"
"Lysine degradation";"b2341"
"Lysine degradation";"b2659"
"Lysine degradation";"b2660"
"Lysine degradation";"b2661"
"Lysine degradation";"b2662"
"Lysine degradation";"b2840"
"Lysine degradation";"b2844"
"Lysine degradation";"b3073"
"Lysine degradation";"b3846"
"Lysine degradation";"b4131"
"Arginine and proline metabolism";"b0120"
"Arginine and proline metabolism";"b0121"
"Arginine and proline metabolism";"b0242"
"Arginine and proline metabolism";"b0243"
"Arginine and proline metabolism";"b0337"
"Arginine and proline metabolism";"b0386"
"Arginine and proline metabolism";"b0693"
"Arginine and proline metabolism";"b0928"
"Arginine and proline metabolism";"b1014"
"Arginine and proline metabolism";"b1297"
"Arginine and proline metabolism";"b1298"
"Arginine and proline metabolism";"b1300"
"Arginine and proline metabolism";"b1301"
